segdesc   = TPIC2L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2030,30.285,56.535,38.723,23.248,23.342,34.134,25.885,17.470,21.537,27.646,24.500,31.852,29.784,24.756,38.176,16.577,21.459,24.573,16.449,27.093,20.314,17.400,31.766,30.458,21.074,26.620,21.603,26.908,32.994,30.932
6/2030,85.006,61.632,73.056,32.433,48.517,25.755,26.030,13.234,33.691,22.042,35.488,36.495,27.898,75.245,41.614,42.116,66.918,11.670,29.634,51.251,51.581,42.220,53.412,18.661,58.077,33.401,42.887,26.704,63.870,41.193
7/2030,72.790,23.677,27.610,16.223,29.427,10.859,10.209,6.271,12.059,9.133,15.099,12.955,11.734,37.028,21.883,14.264,40.923,7.281,12.163,18.683,17.909,15.256,20.445,8.283,37.230,12.294,17.144,13.201,31.168,15.225
8/2030,23.299,10.822,13.495,8.358,12.367,7.132,7.034,4.346,6.656,5.978,8.861,8.074,7.413,13.144,9.653,9.088,14.573,5.443,7.592,9.780,8.492,8.332,12.033,5.667,13.315,7.444,8.232,8.687,12.243,7.750
9/2030,13.463,8.191,9.143,5.927,7.779,5.514,5.255,3.657,7.305,4.875,5.910,6.662,6.397,8.350,6.787,6.008,8.433,4.779,6.546,9.149,6.470,6.087,7.528,4.723,7.971,7.368,5.939,6.689,8.860,6.266
10/2030,11.057,7.949,8.519,6.680,6.695,5.051,4.582,4.580,5.443,5.019,6.615,8.614,6.262,7.943,7.329,5.522,7.839,4.347,6.932,10.957,5.539,5.299,7.842,4.705,6.767,6.763,5.284,5.073,8.314,7.248
11/2030,8.266,7.532,7.033,5.249,5.691,4.255,4.687,3.206,4.247,4.311,5.769,6.173,5.107,6.673,6.237,5.579,6.494,3.703,4.734,7.019,4.764,4.496,6.502,4.381,5.907,6.765,4.622,4.245,6.791,5.779
12/2030,7.618,6.603,6.283,5.066,5.153,3.955,3.939,2.836,3.872,3.711,4.599,4.917,4.117,5.923,5.163,4.655,5.818,3.372,4.058,5.436,4.507,4.139,6.027,3.722,5.554,5.303,4.381,3.926,5.847,5.001
1/2031,6.576,5.622,5.663,4.274,4.741,3.634,3.497,2.602,3.469,3.353,4.018,4.274,3.569,5.315,4.619,4.089,5.341,3.073,3.692,4.815,4.133,3.716,5.095,3.374,5.050,4.361,4.000,3.607,5.280,4.465
2/2031,5.355,4.579,4.650,3.559,3.955,3.035,2.869,2.307,2.862,2.770,3.278,3.561,2.897,4.397,3.793,3.346,4.381,2.601,3.041,4.554,3.595,3.098,4.269,2.813,4.152,3.591,3.415,3.025,4.386,3.817
3/2031,5.724,5.773,5.288,4.673,4.376,3.503,3.029,2.913,4.928,2.979,3.491,6.085,2.929,5.366,3.832,3.678,5.632,2.801,3.036,5.764,4.356,4.993,4.504,2.840,4.580,3.780,4.002,3.515,5.262,5.207
4/2031,10.142,8.145,7.083,6.593,9.880,7.134,7.439,5.794,9.965,6.452,9.256,9.494,3.743,7.093,7.096,6.650,12.943,4.871,5.407,9.717,7.179,9.792,7.319,6.542,7.156,6.943,8.976,6.641,9.144,6.667
