Run Number,Trace Number,Object.Slot,Timestep,Slot Value,Unit
1,1,FloodControlOutput.Flood Control Flag,06-30-2026 23:59:00,0.00,NONE
1,1,FloodControlOutput.Flood Control Flag,07-31-2026 23:59:00,0.00,NONE
1,1,FloodControlOutput.Flood Control Flag,08-31-2026 23:59:00,0.00,NONE
1,1,FloodControlOutput.Flood Control Flag,09-30-2026 23:59:00,0.00,NONE
1,1,FloodControlOutput.Flood Control Flag,10-31-2026 23:59:00,0.00,NONE
1,1,FloodControlOutput.Flood Control Flag,11-30-2026 23:59:00,0.00,NONE
1,1,FloodControlOutput.Flood Control Flag,12-31-2026 23:59:00,0.00,NONE
1,1,FloodControlOutput.Flood Control Flag,01-31-2027 23:59:00,0.00,NONE
1,1,FloodControlOutput.Flood Control Flag,02-28-2027 23:59:00,0.00,NONE
1,1,FloodControlOutput.Flood Control Flag,03-31-2027 23:59:00,0.00,NONE
1,1,FloodControlOutput.Flood Control Flag,04-30-2027 23:59:00,0.00,NONE
1,1,FloodControlOutput.Flood Control Flag,05-31-2027 23:59:00,0.00,NONE
1,1,FloodControlOutput.Flood Control Flag,06-30-2027 23:59:00,0.00,NONE
1,1,FloodControlOutput.Flood Control Flag,07-31-2027 23:59:00,0.00,NONE
