"commodity","item","futures_exchange","commodity_class","data_period","marketing_year","calendar_year_month","futures_contract","data_source_date","value","unit"
"Corn","Basis","CBOT","NA","Monthly","2004","2004-10","2004-12","2004-11-30","      0.098125","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2004-10","2004-12","2005-09-29","      0.088125","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2004-11","2004-12","2004-11-30","      0.008750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2004-11","2004-12","2004-12-29","      0.058750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2004-12","2005-03","2004-12-29","     -0.054500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2004-12","2005-03","2005-01-31","     -0.004500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-01","2005-03","2005-01-31","     -0.025625","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-01","2005-03","2005-02-28","      0.114375","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-02","2005-03","2005-02-28","      0.024375","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-02","2005-03","2005-03-30","     -0.045625","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-03","2005-05","2005-03-30","     -0.140000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-03","2005-05","2005-04-29","     -0.150000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-04","2005-05","2005-04-29","     -0.131875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-04","2005-05","2005-05-31","     -0.071875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-05","2005-07","2005-05-31","     -0.196875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-05","2005-07","2005-06-29","     -0.126875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-05","2005-07","2005-09-29","     -0.136875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-06","2005-07","2005-06-29","     -0.164000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-07","2005-09","2005-07-29","     -0.268125","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-07","2005-09","2005-08-31","     -0.308125","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-08","2005-09","2005-08-31","     -0.277500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2004","2005-08","2005-09","2005-09-29","     -0.217500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2005-09","2005-12","2005-09-29","     -0.383500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2005-09","2005-12","2005-10-31","     -0.213500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2005-10","2005-12","2005-10-31","     -0.280625","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2005-10","2005-12","2005-11-30","     -0.200625","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2005-11","2005-12","2005-11-30","     -0.142500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2005-11","2005-12","2005-12-29","     -0.162500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2005-12","2006-03","2005-12-29","     -0.188000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2005-12","2006-03","2006-01-31","     -0.148000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-01","2006-03","2006-01-31","     -0.165625","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-01","2006-03","2006-02-28","     -0.125625","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-02","2006-03","2006-02-28","     -0.221250","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-02","2006-03","2006-03-30","     -0.211250","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-03","2006-05","2006-03-30","     -0.275500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-03","2006-05","2006-04-28","     -0.225500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-04","2006-05","2006-04-28","     -0.251875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-05","2006-07","2006-05-31","     -0.329375","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-06","2006-07","2006-06-29","     -0.334000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-06","2006-07","2006-07-31","     -0.244000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-07","2006-09","2006-07-31","     -0.288750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-07","2006-09","2006-08-31","     -0.348750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-08","2006-09","2006-08-31","     -0.294500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2005","2006-08","2006-09","2006-09-28","     -0.234500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2006-09","2006-12","2006-09-28","     -0.401250","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2006-09","2006-12","2006-10-31","     -0.311250","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2006-10","2006-12","2006-10-31","     -0.312500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2006-10","2006-12","2006-11-30","     -0.492500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2006-10","2006-12","2007-09-27","     -0.482500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2006-11","2006-12","2006-11-30","     -0.452000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2006-11","2006-12","2006-12-28","     -0.702000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2006-11","2006-12","2007-09-27","     -0.692000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2006-12","2007-03","2006-12-28","     -0.766250","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-01","2007-03","2007-01-31","     -0.665000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-01","2007-03","2007-02-28","     -0.845000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-02","2007-03","2007-02-28","     -0.779375","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-02","2007-03","2007-03-29","     -0.659375","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-03","2007-05","2007-03-29","     -0.742500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-03","2007-05","2007-04-30","     -0.672500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-04","2007-05","2007-04-30","     -0.451875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-04","2007-05","2007-05-31","     -0.261875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-05","2007-07","2007-05-31","     -0.287000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-05","2007-07","2007-06-28","     -0.277000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-06","2007-07","2007-06-28","     -0.026875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-06","2007-07","2007-07-31","     -0.286875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-06","2007-07","2007-09-27","     -0.266875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-07","2007-09","2007-07-31","     -0.076875","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-07","2007-09","2007-08-31","      0.013125","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-08","2007-09","2007-08-31","     -0.121500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2006","2007-08","2007-09","2007-09-27","     -0.031500","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2007","2007-09","2007-12","2007-09-27","     -0.415000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2007","2007-09","2007-12","2007-10-31","     -0.315000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2007","2007-09","2007-12","2008-09-29","     -0.325000","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2007","2007-10","2007-12","2007-10-31","     -0.258750","U.S. dollars per bushel"
"Corn","Basis","CBOT","NA","Monthly","2007","2007-11","2007-12","2007-11-30","     -0.307000","U.S. dollars per bushel"
